sensor_id,timestamp,nh3,h2s,voc,no2,health_environment
3,2025-01-01T00:36:00,5.7,0.0046,597.96,201.26,Fresh
3,2025-01-01T00:37:00,6.07,0.0008,250.54,287.53,Noticeable
3,2025-01-01T00:38:00,6.96,0.0094,193.61,274.75,Fresh
3,2025-01-01T00:39:00,0.66,0.0086,551.95,164.58,Noticeable
3,2025-01-01T00:40:00,2.81,0.0036,463.73,153.79,Noticeable
3,2025-01-01T00:41:00,1.79,0.0044,107.02,74.77,Fresh
3,2025-01-01T00:42:00,2.04,0.0081,109.32,170.18,Stinky
3,2025-01-01T00:43:00,7.28,0.0097,120.58,145.1,Stinky
3,2025-01-01T00:44:00,2.77,0.0038,128.04,176.24,Fresh
3,2025-01-01T00:45:00,1.0,0.005,185.9,153.85,Fresh
3,2025-01-01T00:46:00,8.7,0.0069,93.52,252.95,Fresh
3,2025-01-01T00:47:00,4.44,0.0037,250.11,11.48,Fresh
3,2025-01-01T00:48:00,2.83,0.0074,262.97,110.26,Fresh
3,2025-01-01T00:49:00,5.78,0.0009,111.06,117.36,Noticeable
3,2025-01-01T00:50:00,8.64,0.004,81.98,153.79,Fresh
3,2025-01-01T00:51:00,9.68,0.0018,569.34,153.79,Fresh
3,2025-01-01T00:52:00,6.23,0.0051,183.37,49.79,Fresh
3,2025-01-01T00:53:00,4.42,0.0096,219.47,227.96,Noticeable
3,2025-01-01T00:54:00,9.09,0.005,437.37,16.17,Noticeable
3,2025-01-01T00:55:00,8.22,0.0044,122.92,133.26,Stinky
3,2025-01-01T00:56:00,1.93,0.0044,107.8,153.79,Noticeable
3,2025-01-01T00:57:00,3.85,0.0052,83.84,91.7,Stinky
3,2025-01-01T00:58:00,6.72,0.0095,386.57,142.62,Fresh
3,2025-01-01T00:59:00,6.43,0.0075,453.11,223.6,Noticeable
3,2025-01-01T01:00:00,4.71,0.0035,127.58,176.42,Stinky
3,2025-01-01T01:01:00,8.66,0.006,595.44,151.04,Stinky
3,2025-01-01T01:02:00,3.06,0.0038,567.02,153.79,Noticeable
3,2025-01-01T01:03:00,0.81,0.0033,522.36,74.14,Fresh
3,2025-01-01T01:04:00,5.66,0.0003,292.58,159.79,Stinky
3,2025-01-01T01:05:00,3.56,0.0095,423.7,269.75,Stinky
3,2025-01-01T01:06:00,4.1,0.0045,364.37,93.45,Fresh
3,2025-01-01T01:07:00,9.95,0.0067,399.19,31.06,Noticeable
3,2025-01-01T01:08:00,5.79,0.0097,465.43,5.18,Noticeable
3,2025-01-01T01:09:00,0.01,0.0094,438.69,145.63,Fresh
3,2025-01-01T01:10:00,2.16,0.0047,579.9,96.46,Noticeable
3,2025-01-01T01:11:00,8.27,0.0084,163.59,158.78,Noticeable
3,2025-01-01T01:12:00,1.82,0.0059,201.67,184.47,Noticeable
3,2025-01-01T01:13:00,3.05,0.0027,413.1,265.47,Stinky
3,2025-01-01T01:14:00,7.11,0.0082,234.6,153.79,Stinky
3,2025-01-01T01:15:00,7.51,0.003,229.02,74.59,Stinky
3,2025-01-01T01:16:00,8.64,0.0083,313.19,263.21,Noticeable
3,2025-01-01T01:17:00,3.31,0.0033,456.21,20.17,Stinky
3,2025-01-01T01:18:00,6.97,0.0041,266.77,61.19,Noticeable
3,2025-01-01T01:19:00,9.04,0.0097,549.53,105.0,Fresh
3,2025-01-01T01:20:00,4.42,0.0081,155.11,222.12,Noticeable
3,2025-01-01T01:21:00,0.54,0.0097,92.84,112.25,Fresh
3,2025-01-01T01:22:00,2.26,0.002,219.57,43.27,Noticeable
3,2025-01-01T01:23:00,3.56,0.0021,492.8,234.88,Stinky
3,2025-01-01T01:24:00,7.02,0.0014,525.87,162.43,Stinky
3,2025-01-01T01:25:00,9.42,0.007,233.73,86.74,Stinky
3,2025-01-01T01:26:00,0.58,0.0038,206.56,149.72,Fresh
3,2025-01-01T01:27:00,4.46,0.0035,242.42,54.46,Stinky
3,2025-01-01T01:28:00,7.64,0.0055,470.36,153.79,Stinky
3,2025-01-01T01:29:00,6.73,0.0051,229.59,170.24,Noticeable
3,2025-01-01T01:30:00,0.56,0.0002,434.94,239.45,Fresh
3,2025-01-01T01:31:00,8.58,0.0075,285.13,62.36,Stinky
3,2025-01-01T01:32:00,9.94,0.006,542.78,153.79,Noticeable
3,2025-01-01T01:33:00,9.86,0.0092,179.42,283.5,Stinky
3,2025-01-01T01:34:00,1.98,0.0085,107.69,189.29,Noticeable
3,2025-01-01T01:35:00,5.96,0.0019,290.24,76.22,Noticeable
3,2025-01-01T01:36:00,7.75,0.0052,502.05,153.79,Noticeable
3,2025-01-01T01:37:00,1.23,0.0094,141.18,70.01,Noticeable
3,2025-01-01T01:38:00,2.9,0.0025,210.43,68.31,Fresh
3,2025-01-01T01:39:00,7.14,0.0066,597.57,190.7,Stinky
3,2025-01-01T01:40:00,8.47,0.0027,64.86,21.21,Fresh
3,2025-01-01T01:41:00,6.46,0.0018,152.0,255.2,Noticeable
3,2025-01-01T01:42:00,4.89,0.0092,101.41,153.79,Noticeable
3,2025-01-01T01:43:00,3.09,0.008,484.84,190.24,Stinky
3,2025-01-01T01:44:00,5.88,0.0026,274.48,133.29,Fresh
3,2025-01-01T01:45:00,4.17,0.0041,330.37,153.79,Fresh
3,2025-01-01T01:46:00,4.8,0.0034,463.03,201.28,Stinky
3,2025-01-01T01:47:00,5.54,0.0084,251.01,207.7,Noticeable
3,2025-01-01T01:48:00,9.52,0.006,411.44,153.79,Stinky
3,2025-01-01T01:49:00,2.61,0.0038,459.74,153.79,Fresh
3,2025-01-01T01:50:00,6.32,0.0022,431.22,153.79,Noticeable
3,2025-01-01T01:51:00,3.38,0.0044,423.7,153.79,Stinky
3,2025-01-01T01:52:00,8.8,0.001,438.02,21.1,Stinky
3,2025-01-01T01:53:00,6.84,0.0088,81.31,193.14,Stinky
3,2025-01-01T01:54:00,5.53,0.0091,200.57,56.81,Stinky
3,2025-01-01T01:55:00,1.87,0.0085,289.22,26.42,Noticeable
3,2025-01-01T01:56:00,8.36,0.0001,180.85,153.79,Noticeable
3,2025-01-01T01:57:00,2.09,0.0076,358.34,35.07,Stinky
3,2025-01-01T01:58:00,7.01,0.0066,513.57,194.18,Fresh
3,2025-01-01T01:59:00,7.59,0.0044,211.55,289.33,Stinky
3,2025-01-01T02:00:00,6.25,0.0021,211.5,147.21,Stinky
3,2025-01-01T02:01:00,2.88,0.0005,231.04,88.74,Stinky
3,2025-01-01T02:02:00,6.48,0.0006,208.99,177.87,Noticeable
3,2025-01-01T02:03:00,9.39,0.0078,274.76,103.4,Stinky
3,2025-01-01T02:04:00,8.24,0.0023,62.19,257.31,Noticeable
3,2025-01-01T02:05:00,9.96,0.0037,170.97,270.93,Noticeable
3,2025-01-01T02:06:00,9.96,0.001,464.31,278.67,Fresh
3,2025-01-01T02:07:00,2.52,0.0007,513.25,271.36,Stinky
3,2025-01-01T02:08:00,7.06,0.0069,235.56,234.19,Noticeable
3,2025-01-01T02:09:00,1.47,0.0023,488.27,157.0,Noticeable
3,2025-01-01T02:10:00,8.22,0.0083,576.95,153.79,Stinky
3,2025-01-01T02:11:00,4.5,0.0091,55.48,153.79,Noticeable
3,2025-01-01T02:12:00,3.32,0.0027,564.39,153.79,Stinky
3,2025-01-01T02:13:00,4.23,0.0054,576.14,231.8,Noticeable
3,2025-01-01T02:14:00,5.31,0.0091,571.03,268.83,Stinky
3,2025-01-01T02:15:00,1.28,0.0013,75.84,48.6,Fresh
3,2025-01-01T02:16:00,1.67,0.0026,107.44,139.45,Stinky
3,2025-01-01T02:17:00,4.76,0.0073,426.91,39.33,Fresh
3,2025-01-01T02:18:00,9.47,0.0051,155.31,153.79,Noticeable
3,2025-01-01T02:19:00,9.42,0.0077,187.41,153.79,Stinky
3,2025-01-01T02:20:00,6.6,0.0003,73.33,153.79,Fresh
3,2025-01-01T02:21:00,4.67,0.0061,217.72,132.9,Stinky
3,2025-01-01T02:22:00,4.49,0.0012,332.37,153.79,Fresh
3,2025-01-01T02:23:00,3.01,0.0021,106.09,201.87,Noticeable
3,2025-01-01T02:24:00,0.01,0.0054,413.13,53.19,Noticeable
3,2025-01-01T02:25:00,7.35,0.0066,480.82,33.56,Stinky
3,2025-01-01T02:26:00,0.76,0.001,212.43,3.06,Noticeable
3,2025-01-01T02:27:00,5.93,0.0055,561.77,153.79,Noticeable
3,2025-01-01T02:28:00,1.26,0.0098,84.98,269.77,Stinky
3,2025-01-01T02:29:00,5.08,0.0078,563.65,5.92,Noticeable
3,2025-01-01T02:30:00,4.86,0.0032,123.03,133.16,Noticeable
3,2025-01-01T02:31:00,6.37,0.007,484.5,156.02,Stinky
3,2025-01-01T02:32:00,6.31,0.0073,174.29,210.3,Noticeable
3,2025-01-01T02:33:00,9.09,0.0007,485.5,32.39,Stinky
3,2025-01-01T02:34:00,8.02,0.0023,50.47,78.04,Stinky
3,2025-01-01T02:35:00,3.27,0.0099,122.3,153.79,Noticeable
3,2025-01-01T02:36:00,9.18,0.0022,451.06,280.15,Stinky
3,2025-01-01T02:37:00,4.68,0.004,89.15,161.12,Fresh
3,2025-01-01T02:38:00,6.3,0.0002,321.13,134.34,Noticeable
3,2025-01-01T02:39:00,8.02,0.0056,433.0,80.0,Noticeable
3,2025-01-01T02:40:00,0.78,0.0086,449.83,140.08,Noticeable
3,2025-01-01T02:41:00,5.73,0.0087,67.44,279.39,Fresh
3,2025-01-01T02:42:00,2.45,0.007,512.34,153.79,Fresh
3,2025-01-01T02:43:00,5.99,0.0048,84.57,96.56,Stinky
3,2025-01-01T02:44:00,7.77,0.0027,365.42,251.61,Noticeable
3,2025-01-01T02:45:00,9.6,0.0043,76.66,90.81,Stinky
3,2025-01-01T02:46:00,8.24,0.0094,536.84,243.22,Noticeable
3,2025-01-01T02:47:00,2.43,0.0023,151.48,12.06,Stinky
3,2025-01-01T02:48:00,4.97,0.0055,116.96,174.81,Stinky
3,2025-01-01T02:49:00,1.06,0.0039,139.17,60.52,Fresh
3,2025-01-01T02:50:00,5.65,0.0088,274.71,33.29,Fresh
3,2025-01-01T02:51:00,2.44,0.0023,590.82,153.79,Fresh
3,2025-01-01T02:52:00,4.63,0.0073,516.36,153.79,Noticeable
3,2025-01-01T02:53:00,5.82,0.0034,439.34,283.4,Noticeable
3,2025-01-01T02:54:00,4.87,0.0041,394.56,89.76,Noticeable
3,2025-01-01T02:55:00,3.44,0.0096,397.82,119.0,Stinky
3,2025-01-01T02:56:00,2.18,0.0015,535.96,132.56,Fresh
3,2025-01-01T02:57:00,4.57,0.0007,394.35,15.06,Stinky
3,2025-01-01T02:58:00,5.32,0.0051,596.6,62.9,Noticeable
3,2025-01-01T02:59:00,9.99,0.0089,353.82,296.07,Fresh
3,2025-01-01T03:00:00,7.99,0.0061,311.43,15.39,Noticeable
3,2025-01-01T03:01:00,7.49,0.0066,205.47,14.66,Noticeable
3,2025-01-01T03:02:00,0.44,0.0062,325.02,20.84,Noticeable
3,2025-01-01T03:03:00,9.51,0.0058,105.76,21.32,Stinky
3,2025-01-01T03:04:00,0.86,0.0092,498.34,222.65,Fresh
3,2025-01-01T03:05:00,5.94,0.0079,553.06,175.61,Fresh
3,2025-01-01T03:06:00,1.96,0.0084,156.48,182.52,Noticeable
3,2025-01-01T03:07:00,9.85,0.0046,63.85,128.68,Stinky
3,2025-01-01T03:08:00,9.08,0.0022,559.23,7.0,Stinky
3,2025-01-01T03:09:00,7.76,0.0061,396.77,94.76,Stinky
3,2025-01-01T03:10:00,2.21,0.0051,511.91,87.7,Fresh
3,2025-01-01T03:11:00,2.74,0.0083,288.91,76.48,Stinky
3,2025-01-01T03:12:00,1.47,0.0018,576.64,258.45,Stinky
3,2025-01-01T03:13:00,2.97,0.0088,238.99,277.41,Fresh
3,2025-01-01T03:14:00,6.94,0.0029,510.98,87.51,Noticeable
3,2025-01-01T03:15:00,7.76,0.0061,397.83,153.79,Stinky
3,2025-01-01T03:16:00,0.61,0.0008,281.29,43.02,Fresh
3,2025-01-01T03:17:00,9.86,0.0041,457.11,104.07,Fresh
3,2025-01-01T03:18:00,0.49,0.0049,350.66,153.79,Noticeable
3,2025-01-01T03:19:00,5.44,0.0027,77.14,246.05,Fresh
3,2025-01-01T03:20:00,0.53,0.0017,405.11,143.05,Noticeable
3,2025-01-01T03:21:00,4.72,0.0004,193.22,141.2,Noticeable
3,2025-01-01T03:22:00,5.19,0.0073,400.28,182.87,Fresh
3,2025-01-01T03:23:00,0.59,0.0014,529.05,135.06,Stinky
3,2025-01-01T03:24:00,0.69,0.0006,387.42,206.09,Noticeable
3,2025-01-01T03:25:00,0.02,0.0093,559.39,72.45,Fresh
3,2025-01-01T03:26:00,2.31,0.0089,346.04,127.13,Stinky
3,2025-01-01T03:27:00,1.97,0.0076,365.92,256.01,Stinky
3,2025-01-01T03:28:00,1.6,0.0067,72.62,83.35,Fresh
3,2025-01-01T03:29:00,4.14,0.008,569.81,133.23,Noticeable
3,2025-01-01T03:30:00,1.69,0.008,251.24,5.26,Stinky
3,2025-01-01T03:31:00,5.69,0.0053,492.39,284.08,Noticeable
3,2025-01-01T03:32:00,3.56,0.0091,351.56,270.51,Stinky
3,2025-01-01T03:33:00,0.53,0.0055,482.65,24.87,Noticeable
3,2025-01-01T03:34:00,1.71,0.0033,227.76,153.79,Noticeable
3,2025-01-01T03:35:00,2.61,0.0023,147.15,153.79,Fresh
3,2025-01-01T03:36:00,6.81,0.006,129.18,266.71,Noticeable
3,2025-01-01T03:37:00,8.52,0.0017,60.61,239.06,Stinky
3,2025-01-01T03:38:00,9.91,0.0043,155.23,105.8,Fresh
3,2025-01-01T03:39:00,1.13,0.0049,152.81,21.85,Fresh
3,2025-01-01T03:40:00,4.06,0.0023,543.45,197.46,Fresh
3,2025-01-01T03:41:00,2.44,0.0066,554.11,61.69,Stinky
3,2025-01-01T03:42:00,3.08,0.0012,229.84,153.79,Noticeable
3,2025-01-01T03:43:00,2.16,0.0061,538.97,153.79,Fresh
3,2025-01-01T03:44:00,4.58,0.0045,347.93,153.79,Stinky
3,2025-01-01T03:45:00,9.29,0.0043,551.12,223.3,Noticeable
3,2025-01-01T03:46:00,8.32,0.0025,234.21,207.35,Noticeable
3,2025-01-01T03:47:00,3.75,0.0017,500.8,88.45,Stinky
3,2025-01-01T03:48:00,0.58,0.0007,475.81,294.54,Noticeable
3,2025-01-01T03:49:00,8.85,0.006,453.74,162.36,Noticeable
3,2025-01-01T03:50:00,6.98,0.007,154.63,106.5,Stinky
3,2025-01-01T03:51:00,3.9,0.0028,466.47,137.99,Noticeable
3,2025-01-01T03:52:00,1.09,0.0073,295.71,282.25,Stinky
3,2025-01-01T03:53:00,1.51,0.0082,493.3,153.79,Fresh
3,2025-01-01T03:54:00,6.03,0.0097,318.06,214.14,Noticeable
3,2025-01-01T03:55:00,6.86,0.0099,480.94,114.21,Fresh
3,2025-01-01T03:56:00,5.78,0.01,467.13,201.33,Stinky
3,2025-01-01T03:57:00,8.57,0.0039,274.11,3.66,Noticeable
3,2025-01-01T03:58:00,5.6,0.0094,401.91,153.79,Fresh
3,2025-01-01T03:59:00,1.13,0.0026,550.55,115.01,Noticeable
3,2025-01-01T04:00:00,4.64,0.0021,82.57,279.85,Noticeable
3,2025-01-01T04:01:00,8.62,0.0079,137.41,255.68,Fresh
3,2025-01-01T04:02:00,3.98,0.0023,484.13,194.47,Stinky
3,2025-01-01T04:03:00,7.9,0.0082,515.12,196.69,Noticeable
3,2025-01-01T04:04:00,1.06,0.0002,561.88,234.24,Stinky
3,2025-01-01T04:05:00,4.7,0.0064,82.9,153.79,Fresh
3,2025-01-01T04:06:00,1.38,0.0042,431.89,229.37,Noticeable
3,2025-01-01T04:07:00,3.41,0.0065,395.45,63.85,Stinky
3,2025-01-01T04:08:00,7.06,0.0023,555.37,146.41,Fresh
3,2025-01-01T04:09:00,3.55,0.0092,393.31,94.07,Fresh
3,2025-01-01T04:10:00,6.69,0.0035,110.2,156.01,Fresh
3,2025-01-01T04:11:00,7.8,0.0033,293.34,252.03,Noticeable
3,2025-01-01T04:12:00,3.88,0.0006,422.53,154.95,Stinky
3,2025-01-01T04:13:00,6.04,0.0059,206.81,134.03,Fresh
3,2025-01-01T04:14:00,8.01,0.0037,519.73,241.92,Noticeable
3,2025-01-01T04:15:00,7.26,0.003,588.56,153.79,Fresh
3,2025-01-01T04:16:00,6.87,0.0056,142.25,153.79,Stinky
3,2025-01-01T04:17:00,0.09,0.003,498.08,256.78,Noticeable
3,2025-01-01T04:18:00,5.61,0.0078,100.78,153.79,Noticeable
3,2025-01-01T04:19:00,7.03,0.0023,349.92,153.79,Fresh
3,2025-01-01T04:20:00,7.62,0.0061,392.86,153.79,Stinky
3,2025-01-01T04:21:00,5.26,0.0061,403.77,50.94,Stinky
3,2025-01-01T04:22:00,3.14,0.0088,571.65,202.53,Fresh
3,2025-01-01T04:23:00,2.33,0.0017,447.61,42.75,Stinky
3,2025-01-01T04:24:00,4.9,0.0076,224.7,41.44,Noticeable
3,2025-01-01T04:25:00,8.22,0.0053,581.82,272.66,Stinky
3,2025-01-01T04:26:00,6.77,0.008,237.63,58.31,Stinky
3,2025-01-01T04:27:00,3.28,0.0036,218.06,257.72,Stinky
3,2025-01-01T04:28:00,5.04,0.0007,453.73,77.3,Noticeable
3,2025-01-01T04:29:00,2.59,0.0029,533.79,205.28,Stinky
3,2025-01-01T04:30:00,2.93,0.0038,239.41,240.04,Noticeable
3,2025-01-01T04:31:00,5.69,0.0092,200.76,249.53,Fresh
3,2025-01-01T04:32:00,5.11,0.0073,180.99,153.79,Stinky
3,2025-01-01T04:33:00,8.84,0.0003,71.75,29.27,Noticeable
3,2025-01-01T04:34:00,1.62,0.0043,145.31,57.31,Fresh
3,2025-01-01T04:35:00,6.25,0.0072,175.18,162.35,Stinky
3,2025-01-01T04:36:00,7.77,0.0033,128.78,275.56,Fresh
3,2025-01-01T04:37:00,1.21,0.0093,310.48,41.75,Stinky
3,2025-01-01T04:38:00,5.13,0.0072,374.5,153.79,Fresh
3,2025-01-01T04:39:00,8.41,0.0048,520.78,256.72,Fresh
3,2025-01-01T04:40:00,2.34,0.0093,219.55,255.11,Stinky
3,2025-01-01T04:41:00,5.77,0.0063,157.3,153.79,Stinky
3,2025-01-01T04:42:00,4.66,0.0012,352.49,298.27,Stinky
3,2025-01-01T04:43:00,3.75,0.0,479.7,230.84,Stinky
3,2025-01-01T04:44:00,2.29,0.0037,81.47,13.75,Stinky
3,2025-01-01T04:45:00,7.23,0.0048,124.54,17.73,Fresh
3,2025-01-01T04:46:00,4.71,0.0049,347.54,115.88,Noticeable
3,2025-01-01T04:47:00,0.26,0.008,488.64,89.2,Stinky
3,2025-01-01T04:48:00,4.74,0.0099,507.53,234.43,Fresh
3,2025-01-01T04:49:00,0.94,0.0037,543.82,153.79,Noticeable
3,2025-01-01T04:50:00,4.61,0.008,117.7,124.56,Noticeable
3,2025-01-01T04:51:00,1.58,0.0067,122.18,188.32,Noticeable
3,2025-01-01T04:52:00,1.0,0.0042,112.88,278.51,Noticeable
3,2025-01-01T04:53:00,3.66,0.0047,94.94,172.97,Stinky
3,2025-01-01T04:54:00,3.84,0.0001,57.18,138.3,Fresh
3,2025-01-01T04:55:00,1.03,0.0002,182.75,125.5,Stinky
3,2025-01-01T04:56:00,6.39,0.009,58.74,284.83,Stinky
3,2025-01-01T04:57:00,8.8,0.0055,590.67,286.54,Noticeable
3,2025-01-01T04:58:00,3.86,0.0097,317.42,79.12,Fresh
3,2025-01-01T04:59:00,9.61,0.0009,325.29,206.57,Fresh
3,2025-01-01T05:00:00,0.33,0.0049,205.92,153.79,Fresh
3,2025-01-01T05:01:00,2.59,0.0095,380.61,132.46,Fresh
3,2025-01-01T05:02:00,2.03,0.0025,466.49,153.39,Noticeable
3,2025-01-01T05:03:00,4.18,0.0027,534.75,153.79,Noticeable
3,2025-01-01T05:04:00,8.88,0.0059,587.66,190.33,Fresh
3,2025-01-01T05:05:00,3.38,0.0086,165.93,156.96,Noticeable
3,2025-01-01T05:06:00,3.39,0.0065,281.07,124.42,Noticeable
3,2025-01-01T05:07:00,2.72,0.0058,120.73,56.53,Fresh
3,2025-01-01T05:08:00,2.88,0.0062,102.37,153.79,Stinky
3,2025-01-01T05:09:00,1.72,0.0014,212.73,60.57,Fresh
3,2025-01-01T05:10:00,7.77,0.0064,502.85,185.7,Stinky
3,2025-01-01T05:11:00,7.46,0.0045,451.08,37.29,Stinky
3,2025-01-01T05:12:00,4.21,0.0062,81.33,202.32,Fresh
3,2025-01-01T05:13:00,4.94,0.0016,438.51,8.25,Stinky
3,2025-01-01T05:14:00,5.69,0.0008,284.21,153.79,Fresh
3,2025-01-01T05:15:00,1.81,0.0007,252.38,146.09,Stinky
3,2025-01-01T05:16:00,9.25,0.0013,279.58,52.66,Noticeable
3,2025-01-01T05:17:00,0.17,0.0056,89.33,10.51,Fresh
3,2025-01-01T05:18:00,0.35,0.0079,142.06,244.27,Fresh
3,2025-01-01T05:19:00,8.62,0.0004,461.47,32.31,Fresh
3,2025-01-01T05:20:00,2.65,0.0049,149.59,8.23,Noticeable
3,2025-01-01T05:21:00,9.24,0.0036,349.17,152.4,Stinky
3,2025-01-01T05:22:00,2.5,0.008,198.32,58.54,Noticeable
3,2025-01-01T05:23:00,8.81,0.0041,242.74,227.62,Stinky
3,2025-01-01T05:24:00,8.64,0.01,221.51,295.03,Noticeable
3,2025-01-01T05:25:00,2.82,0.0023,368.01,91.59,Fresh
3,2025-01-01T05:26:00,6.93,0.0042,397.25,153.79,Noticeable
3,2025-01-01T05:27:00,9.25,0.0079,235.78,230.19,Fresh
3,2025-01-01T05:28:00,5.26,0.0097,549.68,284.68,Fresh
3,2025-01-01T05:29:00,6.72,0.0034,449.9,153.79,Fresh
3,2025-01-01T05:30:00,5.72,0.0077,401.49,241.36,Fresh
3,2025-01-01T05:31:00,7.62,0.0081,294.19,86.95,Noticeable
3,2025-01-01T05:32:00,6.92,0.0018,443.14,98.37,Stinky
3,2025-01-01T05:33:00,3.78,0.0042,228.62,159.31,Stinky
3,2025-01-01T05:34:00,6.62,0.0059,549.14,288.62,Stinky
3,2025-01-01T05:35:00,2.03,0.0007,247.04,61.1,Stinky
3,2025-01-01T05:36:00,3.82,0.0009,354.68,153.79,Noticeable
3,2025-01-01T05:37:00,1.73,0.0014,110.88,99.54,Stinky
3,2025-01-01T05:38:00,6.41,0.0058,421.46,153.79,Noticeable
3,2025-01-01T05:39:00,5.88,0.0075,234.98,80.56,Noticeable
3,2025-01-01T05:40:00,1.06,0.0073,547.07,195.78,Fresh
3,2025-01-01T05:41:00,0.88,0.0087,580.73,165.41,Fresh
3,2025-01-01T05:42:00,9.99,0.009,110.68,154.81,Stinky
3,2025-01-01T05:43:00,7.03,0.009,367.75,277.84,Stinky
3,2025-01-01T05:44:00,6.84,0.0001,297.09,238.72,Fresh
3,2025-01-01T05:45:00,5.59,0.0096,103.76,183.94,Fresh
3,2025-01-01T05:46:00,2.38,0.0028,598.54,59.27,Stinky
3,2025-01-01T05:47:00,7.28,0.0,332.78,153.79,Stinky
3,2025-01-01T05:48:00,1.81,0.0088,526.86,197.03,Stinky
3,2025-01-01T05:49:00,6.52,0.0035,52.13,82.03,Fresh
3,2025-01-01T05:50:00,6.24,0.0086,321.76,153.79,Stinky
3,2025-01-01T05:51:00,6.29,0.0056,215.29,173.79,Fresh
3,2025-01-01T05:52:00,0.69,0.0081,333.74,59.08,Noticeable
3,2025-01-01T05:53:00,6.15,0.0071,427.06,153.79,Stinky
3,2025-01-01T05:54:00,5.93,0.0086,499.09,213.39,Stinky
3,2025-01-01T05:55:00,9.54,0.0033,120.59,51.77,Fresh
3,2025-01-01T05:56:00,6.33,0.0056,251.9,18.52,Fresh
3,2025-01-01T05:57:00,5.15,0.0009,316.83,115.76,Fresh
3,2025-01-01T05:58:00,7.04,0.0019,239.63,269.2,Noticeable
3,2025-01-01T05:59:00,9.41,0.0052,322.86,153.79,Stinky
3,2025-01-01T06:00:00,2.16,0.0045,477.61,24.6,Fresh
3,2025-01-01T06:01:00,0.14,0.0088,552.7,139.72,Noticeable
3,2025-01-01T06:02:00,5.08,0.007,246.49,168.71,Noticeable
3,2025-01-01T06:03:00,9.71,0.0083,125.62,278.25,Stinky
3,2025-01-01T06:04:00,9.37,0.0013,488.4,148.7,Stinky
3,2025-01-01T06:05:00,9.93,0.0001,541.85,84.65,Noticeable
3,2025-01-01T06:06:00,7.94,0.0037,329.97,122.15,Fresh
3,2025-01-01T06:07:00,7.79,0.0088,90.91,242.44,Stinky
3,2025-01-01T06:08:00,5.87,0.0082,215.34,27.69,Noticeable
3,2025-01-01T06:09:00,3.73,0.0022,500.92,191.84,Stinky
3,2025-01-01T06:10:00,0.18,0.0068,79.93,114.47,Stinky
3,2025-01-01T06:11:00,0.64,0.0099,435.48,238.88,Stinky
3,2025-01-01T06:12:00,9.79,0.0059,479.28,278.08,Noticeable
3,2025-01-01T06:13:00,6.62,0.0061,298.3,153.79,Noticeable
